device_id,ts,anomaly_type,confidence_score,carbon_credit_impact_pct
TEC0325A0600002,2026-02-04 04:46:02.107000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7439,100.0
TEC0325A0600002,2026-02-04 04:46:32.111000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7467,100.0
TEC0325A0600002,2026-02-04 04:54:32.115000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7675,100.0
TEC0325A0600002,2026-02-04 04:55:02.198000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7675,100.0
TEC0325A0600002,2026-02-04 04:58:32.109000+00:00,HIGH_CELL_IMBALANCE,0.6028,14.0
TEC0325A0600002,2026-02-04 04:59:02.109000+00:00,HIGH_CELL_IMBALANCE,0.6028,14.0
TEC0325A0600002,2026-02-04 04:59:32.114000+00:00,HIGH_CELL_IMBALANCE,0.6028,14.0
TEC0325A0600002,2026-02-04 05:00:02.167000+00:00,HIGH_CELL_IMBALANCE,0.6028,14.0
TEC0325A0600002,2026-02-04 05:00:32.231000+00:00,HIGH_CELL_IMBALANCE,0.6028,14.0
TEC0325A0600002,2026-02-04 05:01:02.144000+00:00,HIGH_CELL_IMBALANCE,0.5432,12.0
TEC0325A0600002,2026-02-04 05:01:32.108000+00:00,HIGH_CELL_IMBALANCE,0.5432,12.0
TEC0325A0600002,2026-02-04 05:02:02.108000+00:00,HIGH_CELL_IMBALANCE,0.5432,12.0
TEC0325A0600002,2026-02-04 05:02:32.112000+00:00,HIGH_CELL_IMBALANCE,0.5432,12.0
TEC0325A0600002,2026-02-04 05:03:02.121000+00:00,HIGH_CELL_IMBALANCE,0.5432,12.0
TEC0325A0600002,2026-02-04 05:03:32.107000+00:00,HIGH_CELL_IMBALANCE,0.5432,12.0
TEC0325A0600002,2026-02-04 05:04:02.116000+00:00,HIGH_CELL_IMBALANCE,0.5432,12.0
TEC0325A0600002,2026-02-04 05:04:32.121000+00:00,HIGH_CELL_IMBALANCE,0.5432,12.0
TEC0325A0600002,2026-02-04 05:05:02.110000+00:00,HIGH_CELL_IMBALANCE,0.5432,12.0
